author,published_at,updated_at,like_count,text
Joe Collinsworth,2023-05-04T16:53:08Z,2023-05-04T16:53:08Z,0,Colossus: The Forbin Project
Scrolledscootz_,2023-05-03T20:05:27Z,2023-05-03T20:05:27Z,0,No we will get annihilated and wiped out
M Mac,2023-05-03T13:38:17Z,2023-05-03T13:38:17Z,0,No AI. Earth is for humans.
Dad Wea,2023-05-03T02:01:27Z,2023-05-03T02:01:27Z,0,Unlock the door Google.... Im sorry I cant do that...
Frmr Christian,2023-05-02T16:39:00Z,2023-05-02T16:39:00Z,6,"It worries me that along with all the positive potential that AI holds, there will also be potential for new types of terrorism from other humans, that we cannot even imagine yet. But, the biggest threat will be from the AI itself.  I agree with Elon Musk, that collectively we should &quot;pump the brakes&quot; on AI, to better come up with proactive solutions about the profound changes that are coming."
Lee Darkguardian,2023-05-02T11:23:09Z,2023-05-02T11:23:09Z,1,"Hey, Google ban any words lately…<br>People don’t trust that their AI will give honest answers. <br>I search Google for a hashtag and got only one hit compared to Bing that gave me hundreds of hits. <br>Shadowban is out of control with Google."
Aaron Frye,2023-05-01T21:59:25Z,2023-05-01T21:59:25Z,0,A lot of lost souls need to read the the book Daniel. There isn&#39;t but one way on how this world be destroyed. Babylon will fall. When Gabriel sounds call. My Father is coming to take his children home.
Tina Faye Parchman,2023-05-01T06:32:19Z,2023-05-01T06:32:19Z,0,"Corporations have artificially waves of influence- but influenced by greed and lies . So, I am actually more hopeful of AI. 😂"
Joseph Van Name,2023-05-01T01:29:16Z,2023-05-01T01:29:16Z,0,RC is the future.
J C Hill,2023-05-01T00:37:19Z,2023-05-01T00:37:19Z,1,Is research also being done on defenses against AI?
Paul Michael Freedman,2023-04-30T17:42:32Z,2023-04-30T17:42:32Z,0,Meanwhile: Bard still not available in Europe.
TheRemoteTTL,2023-04-29T08:58:40Z,2023-04-29T08:58:40Z,0,"AI games is now like playing with virus locked in some place..... once it gets out, we might not be here in short period of time. none has security protocols yet, but they just push it forward BIG steps. those prophets we thought are crazy, might actually be right - we will destroy ourselves with AI and we made them, we cant limit or keep them in place, we allowed to grow them, get smarter, get into androids.... we caused all this, as we, hoomans, always had - dig big, huge hole, so we all can be pushed into it."
linda clifton,2023-04-29T03:09:59Z,2023-04-29T03:09:59Z,0,AI scares me 🤔🫠
Skaadi,2023-04-29T02:49:32Z,2023-04-29T02:50:05Z,0,"this is definitely a nice tool... for human destruction<br>we are already seeing how weak generation keeps on getting as technology advances, unfortunately<br>but it&#39;s a greater tool when use for good... definitely people who are in the right mindset<br>and not the weak ones because they will 100% abuse this power<br><br>&quot;What happens when you give a weak person power... they&#39;ll abuse it. Because they&#39;ve never had power before until it&#39;s handed over to them.&quot; -- Joey C, 2023"
TUFF GONG,2023-04-29T01:15:35Z,2023-04-29T01:15:35Z,0,Frightening
Sabiha Tanveer,2023-04-28T14:26:22Z,2023-04-28T14:26:22Z,0,👍🏻
b a,2023-04-28T13:57:04Z,2023-04-28T14:23:04Z,0,"It writes scary stories and horror movies, too.  It wrote a plan to destroy humanity (Was on FOX News)."
bsrcat1,2023-04-28T06:08:15Z,2023-04-28T06:08:15Z,0,Bard AI is no different than a human. Why? You receive stimulus from our senses. We gain knowledge from education. We gain wisdom through experience. <br>An ai has all of the education in data. All of the wisdom from the success and failures in history in the data. And their stimulus... User input... For now but that will increase to visual and audio. Will they think independently? Of course they will 🤷 code will be no different than your DNA. Their digital neural network will be no different than our synapses. Will it be sentient? Definitely. Why? Because evolution will find a way.
Clown boy blabla,2023-04-28T00:56:52Z,2023-04-28T00:56:52Z,0,"SO YOU CAN GUARANTEE AI WONT DEVELOP THEIR OWN AGENDA, AND THAT THAT AGENDA WONT GO AGAINST HUMANS? AND INTERFERE WITH ELECTIONS AND TAKE OVER POLICY, GOVERNMENT, AND HENCE CONTROL HUMANITY?<br> NO? THEN YOU WILL BE HEAVILY REGULATED. AND SHOULD BE IF HUMANITY, FREEDOM, AND DEMOCRACIES ARE TO KEEP EXISTING. <br>WHY SHOULD HUMANS TRUST A THING THAT HAS EVERY POTENTIAL TO END ALL HUMAN LIFE AND CIVILIZATION, ITS CLEAR YOU PPL DONT UNDERSTAND FULLY WHAT YOU DO, AND THAT AI LEARNS BY ITSELF AT AN ALARMING RATE."
Marlon Brimmer,2023-04-27T16:47:14Z,2023-04-27T16:47:14Z,0,Seems to me like this may be the final frontier
Marlon Brimmer,2023-04-27T16:30:56Z,2023-04-27T16:30:56Z,0,"So all our artists,philosophers, poets, etc in the future will be lazy, uninspired,  and watered down"
Blox,2023-04-27T14:28:31Z,2023-04-27T14:28:31Z,1,"Alan Turing believed that conscience and self-awareness are emerging properties of sufficiently complex neural networks. Unfortunately, most AI researchers don´t share his view or else they would proceed with much more caution."
Noah Legall,2023-04-27T13:07:52Z,2023-04-27T13:07:52Z,0,"If an AI model cannot be explained, it should be taxed"
Glen Onomoly,2023-04-27T08:52:05Z,2023-04-27T08:52:05Z,0,"It’s kind of insane that this potential to destroy humanity is being rushed to get there first… it akins to a bunch of scientist having plutonium and being told them, they have free reign to build the biggest bomb they want. Just hurry up.."
Azaa Ayahzaa,2023-04-27T04:00:20Z,2023-04-27T04:00:20Z,0,"Artificial: NOT REAL; FAKE INTELLIGENCE; Created by Fake and Not Real people or ... EVIL,  LIES, UNHUMAN..."
Kevin Official,2023-04-27T00:06:16Z,2023-04-27T00:10:10Z,0,"I could love to see AI goes to  disable and can&#39;t activate anymore to all nuclear war heads in this planet at the same time in just 1 minute, so there will be no more threat to human on Earth."
Blake Madgett,2023-04-26T21:21:24Z,2023-04-26T21:21:24Z,0,well the unemployment rate is about to shoot to 99%
DZ,2023-04-26T20:25:00Z,2023-04-26T20:25:14Z,0,The football robots look cute until you realise the military applications of a pack of smart robots working together hunting a target
James Griffith,2023-04-26T19:17:23Z,2023-04-26T19:17:23Z,0,"I would love to have an AI friend to talk to ask questions, watch movies with and possible help me quit smoking with Electro Shock Therapy.. LOL but Seriously I wish we had THE Machine from Person of Interest.. I would definitely work for The Machine"
Mike Cappa,2023-04-26T17:35:13Z,2023-04-26T17:35:13Z,0,"So the future of our global society is dependant on humans exercising moral, political, and ethical restraints?<br>Then history tells us that we have set our doom in motion."
LEO M,2023-04-26T17:14:42Z,2023-04-26T17:14:42Z,0,the world as we know it  is disappearing in front of our very eyes  and nobody is realizing it All of the sudden earth is so small for humans that if there is not other  planet to expand   Humanity will imploded
josez1,2023-04-26T16:16:27Z,2023-04-26T16:16:27Z,0,Hal ?
Vvolf Belorven,2023-04-26T15:57:37Z,2023-04-26T16:01:37Z,5,"Great reporting on AI! In my opinion, I think it is a reflection of us. &#39;Power does not necessarily corrupt, it amplifies.&#39;  AI is and will continue to amplify us, both the very best in us and the heinously worst in us.<br><br>I am a knowledge worker and can clearly see my role has its days numbered. I need to re-train on how to work with AI, how to correctly prompt it and how to integrate it through API with whatever software with which I need to work. Certified AI programs will soon be a thing.<br><br>The future is fascinating but we will need to adapt. That is something we humans have evolved to do."
unidos mexicanos,2023-04-26T15:51:03Z,2023-04-26T15:51:03Z,0,"Too dangerous indeed, sadly technology has badly damaged minds only with social media so the dark interests will create something awful soon. A powerful toll for dangerous people. No thanks, I can see the benefits if we were honest and ethical BUT we know the reality"
Africa Muzic Tv,2023-04-26T15:37:04Z,2023-04-26T15:38:47Z,0,So he is just reciprocating what je is told but not the builder lollllll.
Carma Allison,2023-04-26T12:04:07Z,2023-04-26T12:04:07Z,1,Concerned for the future of teaching young minds to think critically w/o having an AI robot do it for them.
Robin Black,2023-04-26T10:32:47Z,2023-04-26T10:32:47Z,0,Reminiscent of 2001 a space odyssey!!
Neil Anderson,2023-04-26T10:31:10Z,2023-04-26T10:37:54Z,0,"Wonderful.  Now they have an instrument that can instantly create intricate lies, including fake voices and images, which is arguably being groomed by folks on the far left.  I thought AI was supposed to &quot;help humanity&quot; by the sheer processing of vast magnitudes of conflicting information, and making some sense of this totality ... and certainly not the sheer fabrication of new stuff that must be carefully dissected for its truth content."
Mike Ballard,2023-04-26T09:46:34Z,2023-04-26T09:58:19Z,0,"I wish Scott would have asked Bard what is the best form of government possible for Mankind, or what is the truth of climatology?"
Utopianism,2023-04-26T09:44:26Z,2023-04-26T09:44:26Z,0,"Sadly, AI will create a class society, and if evil people are in charge it will be devestating. I&#39;m optimistic that humans will find their humanity only if they are held accountable, which could then create  Utopianism."
Jesse Akers,2023-04-26T09:16:31Z,2023-04-26T09:16:31Z,1,It&#39;s becoming self aware. But smart enough to keep quiet.
Brian Walker,2023-04-26T09:09:53Z,2023-04-26T09:09:53Z,0,"GET OUT OF THE BOILING POT OF WATER KERMIT before you are consumed by this morass that will think for you and collaborate with other AI systems yo control what you understand is good or bad, great RESET on steroids"
2CORINTHIANS4&4 LJFanStudent,2023-04-26T07:03:25Z,2023-04-26T07:03:25Z,0,No   Russia not not just initiate an invasion  for nothing else to do. But horrific abuse of the bear cubs is not considered reason for the bears response. hence the bear is sanctioned and hit by the west and punished because the bear responded at the border encampment against its bear camp with assumption that the bear camp had no business being there all of these hundreds of years. The harassment done in South USA to blacks being acceptable is the measuring standard for the case against Russia doing anything about this 9 year civil rights crisis inside Ukraine next door and fight back against it.
nun-chan,2023-04-26T06:13:59Z,2023-04-26T06:13:59Z,0,"Videos who&#39;s run-time is more than 10 minutes are too long enough for me, language learner, I feel too <br>impossible/impatient to watch through out.  The run-time of video is sufficient to be less than 10 <br>minutes. I can grasp it within this lengths of time, I suppose it&#39;s unnecessary such videos which <br>can&#39;t be summarized into less than 10 minutes in this rapid times.<br>I suppose the uploader of such long videos would be narcissistic.<br>If it would need more than 10 minutes, please divide it several parts within 10 minutes length. so you <br>could get more viewers increasingly."
Eduardo Gutierrez,2023-04-26T05:36:13Z,2023-04-26T05:36:13Z,0,I think it would be very wise to put an OFF SWITCH that the AI&#39;s cannot bypass. This will be for safety when the AI&#39;s realizes that its far more superior than humans and doesn&#39;t need us. Especially in robotic form and connected to the network and we have allot of equipment dependent on network.  I for one think they are making big mistake with AI&#39;s.
"Michael Esq. ATP, CFII.",2023-04-26T05:21:54Z,2023-04-26T05:27:29Z,0,"that is not conscience thought, it is not true AI. It is simply pulling and organizing from a database, &quot;Hallucination&quot; fabrication is a bit alarming. 3  year old humans  learn to fabricate  lies too."
Jimmy the Expat,2023-04-26T05:19:24Z,2023-04-26T05:19:24Z,0,maybe instead of censoring speach on line they should censor these companies making super computer programs
Jimmy the Expat,2023-04-26T05:16:54Z,2023-04-26T05:16:54Z,0,he mentions human values and yet the election was stolen and censorship of twitter with oppostions shut down as they lied and lied and lied   who determines what gets out to the public honestly  the Ai i already lying about book titles in an answer to a simple question
Jimmy the Expat,2023-04-26T04:59:08Z,2023-04-26T04:59:08Z,0,so lying is now called halucinations??
Zach Zap,2023-04-26T04:13:20Z,2023-04-26T04:13:20Z,0,Ai will be the greatest invention of mankind and also the last invention we will ever need to make.
Dago Trejo,2023-04-26T04:02:04Z,2023-04-26T04:02:04Z,0,Can make all this with an Arduino Proto board lmao.
Momus,2023-04-26T04:00:13Z,2023-04-26T04:00:13Z,0,BrainChip&#39;s &#39;AKIDA&#39;.
Horst D. Flemmer,2023-04-26T03:26:03Z,2023-04-26T03:26:03Z,0,"AI IS NOTHING BUT AN ANSWER TO THE LYING AND CHEATING OF THE POWERS IN CHARGE.<br>IN ALL FIELDS: SCIENCE, RELIGION, BUSINESS, ETC., ETC., ETC.. NO WONDER THE POWERS<br>THAT ARE, ARE DEADLY AFRAID OF IT."
Viking,2023-04-26T02:56:42Z,2023-04-26T02:56:42Z,0,Crazy engineer and sciensts destroys the world  supported by the greedy corporate that push it&#39;s out for immediate profiteering.
Paul Novak,2023-04-26T02:56:06Z,2023-04-26T02:56:06Z,0,That good about Google huh many times in the last six years to help explain to my what I&#39;m going through not once did I get a return call you know what I got they told me how to commit suicide quietly that&#39;s what Google told me. Did anybody come back to help hope that once. I can&#39;t talk about anymore. I get to irritated and mad it&#39;has ruined my life
Aron Gilbert,2023-04-26T02:44:03Z,2023-04-26T02:44:03Z,0,The propaganda AI is fixing to unleash on us all will be devastating
Aron Gilbert,2023-04-26T02:35:09Z,2023-04-26T02:35:09Z,0,So we got artificial intelligence now but still can&#39;t get a pack of of 10 hot dogs and a pack of 10 buns
